window_start_index,window_end_index,combined_entropy,user_entropy,mid_timestamp
6500,6750,1.9730762827641164,2.0259285643210383,2025-07-31 06:36:46.639687+00:00
6750,7000,2.2702744457106245,2.0243582851984225,2025-08-02 13:05:09.192849+00:00
7000,7250,2.290294888043468,2.100582242891061,2025-08-07 11:59:23.361263+00:00
7250,7500,2.2569609240596606,2.037168336052758,2025-08-10 16:27:09.167644+00:00
7500,7750,2.1731718877839468,2.164376001352016,2025-08-15 06:28:46.933687+00:00
7750,8000,2.2941141425470652,2.176246762194844,2025-08-19 08:09:32.963820+00:00
8000,8250,2.1802248736875285,2.14062847856674,2025-08-24 18:34:57.314918+00:00
8250,8500,2.102167454871811,2.0929483275686813,2025-08-28 17:37:14.287697+00:00
8500,8750,2.1475711307304137,1.9644504650063155,2025-08-31 06:50:59.873300+00:00
8750,9000,2.1051955079431663,1.976845368955485,2025-09-02 07:24:24.000729+00:00
9000,9250,1.9786683982006745,2.098147404518794,2025-09-05 08:12:04.363192+00:00
9250,9500,1.8192730031830202,2.018683965405405,2025-09-06 14:59:24.622000+00:00
9500,9750,2.057625927102102,2.132104049093174,2025-09-10 12:08:45.414438+00:00
9750,10000,2.3101739579607874,2.3603160835359738,2025-09-14 09:22:50.614552+00:00
10000,10250,2.2537370234024428,2.253462877452186,2025-09-18 11:21:45.270709+00:00
10250,10500,2.1947399462091712,2.294001967988096,2025-09-22 13:34:22.905717+00:00
10500,10750,1.735580848824625,1.8853834648791314,2025-09-25 07:58:04.050153+00:00
10750,11000,2.0811256508589424,2.0686629753240107,2025-09-27 11:27:48.746263+00:00
11000,11250,2.4056266086572307,2.0896910450457526,2025-10-01 16:53:40.558014+00:00
11250,11500,2.2613428112401217,1.992139520308061,2025-10-05 16:01:05.851830+00:00
11500,11750,2.373492323532598,2.2244714618371835,2025-10-10 14:49:53.978180+00:00
11750,12000,2.571177427848708,2.5229771341227876,2025-10-14 10:19:27.497698+00:00
12000,12250,2.7538242483761675,2.438212569962208,2025-10-16 15:03:41.714230+00:00
12250,12500,2.2239586687672674,2.0090805779568046,2025-10-19 09:12:43.798115+00:00
12500,12750,2.575406635093833,2.54086935090878,2025-10-21 17:11:49.882679+00:00
12750,13000,2.5691096387162236,2.529615215887889,2025-10-23 17:42:06.751936+00:00
13000,13250,2.580655887221816,2.436341867349029,2025-10-26 11:28:31.239442+00:00
13250,13500,2.5227847727235284,2.3528613894005517,2025-10-28 10:47:20.340318+00:00
13500,13750,2.596162000020947,2.5733098265649876,2025-10-30 10:42:35.239849+00:00
13750,14000,2.531414517066403,2.3493598703308485,2025-10-31 21:28:15.988441+00:00
14000,14250,2.6067927163776474,2.5093806656289237,2025-11-01 20:39:25.625672+00:00
14250,14500,2.7410032420869417,2.55460956730785,2025-11-04 18:44:23.970670+00:00
14500,14750,2.749516294179987,2.636606447121095,2025-11-06 16:42:02.320870+00:00
14750,15000,2.732425412876576,2.5119937938538257,2025-11-08 07:33:54.080504+00:00
15000,15250,2.708328634016562,2.5320702199074954,2025-11-10 08:38:00.106739+00:00
15250,15500,2.257660141462054,1.9416308718959123,2025-11-11 14:41:38.232136+00:00
15500,15750,2.7304922333301542,2.3826905360472814,2025-11-13 15:34:17.968000+00:00
15750,16000,2.5872797610869194,2.516050722414565,2025-11-15 09:29:49.707504+00:00
16000,16250,2.5311499466320475,2.3405464627054555,2025-11-17 16:03:25.206429+00:00
16250,16500,2.337294843159267,1.9961175990797069,2025-11-19 15:23:55.353827+00:00
16500,16750,2.342920774429434,2.0737514537822643,2025-11-21 16:05:42.405025+00:00
16750,17000,1.9442783843930924,2.1234455910277337,2025-11-24 15:24:27.318277+00:00
17000,17250,2.1388644955885363,1.8449145411678942,2025-11-25 11:22:49.318000+00:00
17250,17500,2.4172572699940633,1.8527193570275733,2025-11-26 20:26:16.858297+00:00
17500,17750,2.57716107876006,2.292583706123311,2025-11-30 13:45:05.778070+00:00
17750,18000,2.653883278262751,2.443547360507671,2025-12-02 13:10:50.196862+00:00
18000,18250,2.2850924460839073,2.2444247767439967,2025-12-03 13:16:50.022782+00:00
18250,18500,1.86795945814302,1.9640046187043272,2025-12-04 12:05:48.292931+00:00
18500,18750,1.773100060228296,2.1912778424847583,2025-12-04 18:07:04.875024+00:00
18750,19000,2.1623436139293357,1.9182622821313382,2025-12-05 15:20:24.047204+00:00
19000,19250,2.3707128618484115,1.7796462474019548,2025-12-06 19:56:22.122264+00:00
19250,19500,2.432847272300015,2.043797429306964,2025-12-07 19:55:30.633091+00:00
19500,19750,2.085639622485871,2.1045965019747306,2025-12-08 15:43:53.508000+00:00
19750,20000,2.5138589754890948,2.2080658365158,2025-12-10 07:51:26.028010+00:00
20000,20250,2.6124945678138474,2.440015674032682,2025-12-12 11:20:54.096318+00:00
